title,price,image
Brand,Brand,https://loginmegastore.com/uploads/product/0134-0178-0160_thumb.png?w=400&h=400&fit=contain
Cari Kategori,Cari Kategori,https://loginmegastore.com/uploads/product/0134-0178-0161_thumb.png?w=400&h=400&fit=contain
Cooling,Cooling,https://loginmegastore.com/uploads/product/0134-0180-0141_thumb.jpeg?w=400&h=400&fit=contain
Household,Household,https://loginmegastore.com/uploads/product/AA003914_thumb.jpg?w=400&h=400&fit=contain
Washer,Washer,https://loginmegastore.com/uploads/product/0477-0179-0038_thumb.png?w=400&h=400&fit=contain
Urutkan,Urutkan,/images/icon/value-1.png
BORISH BEINZ EGG BOX ACC BBKW LT01 WH,BORISH BEINZ EGG BOX ACC BBKW LT01 WH,/images/icon/value-2.png
Rp 98.500,Rp 98.500,/images/icon/value-3.png
5%,5%,/images/icon/value-4.png
Rp 93.575,Rp 93.575,/images/icon/value-5.png
BERVIN MULTIFUNCTION STAND BOS 100 GREY,BERVIN MULTIFUNCTION STAND BOS 100 GREY,/images/logo-color.png
Rp 460.000,Rp 460.000,/images/logo/bca.png
5%,5%,/images/logo/bni.png
Rp 437.000,Rp 437.000,/images/logo/permata.png
BERVIN MSTNACCREF BOS 200 DARKGREY,BERVIN MSTNACCREF BOS 200 DARKGREY,/images/logo/mandiri.png
Rp 607.400,Rp 607.400,/images/logo/kredivo.png
5%,5%,/images/logo/akulaku.png
Rp 577.030,Rp 577.030,/images/logo/gopay.png
Terjual 12,Terjual 12,/images/logo/shopeepay.png
BERVIN MULTIFUNCTION STAND BOS 50 GREY,BERVIN MULTIFUNCTION STAND BOS 50 GREY,/images/logo/indodana.png
Rp 365.300,Rp 365.300,/images/logo/bca.png
5%,5%,/images/logo/mandiri.png
Rp 347.035,Rp 347.035,/images/logo/sicepat.png
Terjual 4,Terjual 4,/images/logo/login-delivery.png
BERVIN MULTIFUNCTION STAND WM BFSA151MS,BERVIN MULTIFUNCTION STAND WM BFSA151MS,/images/logo/lalamove.png
Rp 639.000,Rp 639.000,/images/assets/bg-graph.png
Category,Category,/images/logo-color.png
Home,Home,https://loginmegastore.com/uploads/category/202512/category-fdwkki8f2y5y8xr8xgru5k69.jpg?w=100&h=100&fit=cover
Promo,Promo,https://loginmegastore.com/uploads/category/202512/category-rvcn7vof9bov9cz3w6hfh2py.jpg?w=100&h=100&fit=cover
Blog,Blog,https://loginmegastore.com/uploads/category/202512/category-o2fn7sk5ssatbhqdp2ckiuid.jpg?w=100&h=100&fit=cover
Hasil Pencarian 'kulkas',Hasil Pencarian 'kulkas',https://loginmegastore.com/uploads/product/0103-0180-1454_thumb.png?w=400&h=400&fit=contain
Wishlist Produk,Wishlist Produk,https://loginmegastore.com/uploads/product/0134-0178-0140_thumb.jpeg?w=400&h=400&fit=contain
Wishlist Anda kosong,Wishlist Anda kosong,https://loginmegastore.com/uploads/product/0081-0178-0375_thumb.png?w=400&h=400&fit=contain
Keranjang Produk,Keranjang Produk,https://loginmegastore.com/uploads/product/0144-0178-2088_thumb.png?w=400&h=400&fit=contain
Keranjang Anda kosong,Keranjang Anda kosong,https://loginmegastore.com/uploads/product/0144-0178-2087_thumb.png?w=400&h=400&fit=contain
Filter,Filter,https://loginmegastore.com/uploads/product/0144-0178-2089_thumb.png?w=400&h=400&fit=contain
Harga,Harga,https://loginmegastore.com/uploads/product/0535-0178-0077_thumb.png?w=400&h=400&fit=contain
Stok,Stok,https://loginmegastore.com/uploads/product/0121-0178-0487_thumb.png?w=400&h=400&fit=contain
Rating,Rating,https://loginmegastore.com/uploads/product/0133-0178-0785_thumb.png?w=400&h=400&fit=contain
Rating 4 Keatas,Rating 4 Keatas,https://loginmegastore.com/uploads/product/202603/product-v3suzpx85ngjaej2qhav1v5i.png?w=400&h=400&fit=contain
Urutan,Urutan,https://loginmegastore.com/uploads/product/0707-0412-0043_thumb.png?w=400&h=400&fit=contain
Brand,Brand,https://loginmegastore.com/uploads/product/0707-0412-0041_thumb.png?w=400&h=400&fit=contain
Cari Kategori,Cari Kategori,https://loginmegastore.com/uploads/product/0707-0412-0042_thumb.png?w=400&h=400&fit=contain
Cooling,Cooling,https://loginmegastore.com/uploads/product/0707-0412-0044_thumb.png?w=400&h=400&fit=contain
Household,Household,https://loginmegastore.com/uploads/product/0707-0357-0023_thumb.png?w=400&h=400&fit=contain
Washer,Washer,https://loginmegastore.com/uploads/product/0707-0357-0022_thumb.png?w=400&h=400&fit=contain
Urutkan,Urutkan,/images/icon/value-1.png
LG SIDE BY SIDE 4D GCV22FFQMB,LG SIDE BY SIDE 4D GCV22FFQMB,/images/icon/value-2.png
Rp 23.607.400,Rp 23.607.400,/images/icon/value-3.png
5%,5%,/images/icon/value-4.png
Rp 22.427.030,Rp 22.427.030,/images/icon/value-5.png
PANFILA SIDE BY SIDE 2D PRFB5610,PANFILA SIDE BY SIDE 2D PRFB5610,/images/logo-color.png
Rp 9.449.500,Rp 9.449.500,/images/logo/bca.png
5%,5%,/images/logo/bni.png
Rp 8.977.025,Rp 8.977.025,/images/logo/permata.png
HITACHI SIDE BY SIDE 2D HRSN9552DDXID,HITACHI SIDE BY SIDE 2D HRSN9552DDXID,/images/logo/mandiri.png
Rp 11.344.300,Rp 11.344.300,/images/logo/kredivo.png
5%,5%,/images/logo/akulaku.png
Rp 10.777.085,Rp 10.777.085,/images/logo/gopay.png
SAMSUNG SIDE BY SIDE 2D RS70F65QNTSE,SAMSUNG SIDE BY SIDE 2D RS70F65QNTSE,/images/logo/shopeepay.png
Rp 15.156.900,Rp 15.156.900,/images/logo/indodana.png
5%,5%,/images/logo/bca.png
Rp 14.399.055,Rp 14.399.055,/images/logo/mandiri.png
SAMSUNG SIDE BY SIDE 2D RS57DG4000M9,SAMSUNG SIDE BY SIDE 2D RS57DG4000M9,/images/logo/sicepat.png
Rp 9.999.000,Rp 9.999.000,/images/logo/login-delivery.png
5%,5%,/images/logo/lalamove.png
Rp 9.499.050,Rp 9.499.050,/images/assets/bg-graph.png
